Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,division,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,jornada
2005-09-24,Betis,Barcelona,1.0,4.0,A,1.0,1.0,D,1,9.0,23.0,5.0,10.0,19.0,17.0,1.0,7.0,4.0,2.0,1.0,0.0,05-06,5
2005-09-24,Ath Madrid,Getafe,0.0,1.0,A,0.0,0.0,D,1,12.0,12.0,4.0,4.0,21.0,27.0,8.0,2.0,3.0,4.0,0.0,1.0,05-06,5
2005-09-24,Espanol,Villarreal,1.0,2.0,A,0.0,1.0,A,1,9.0,13.0,3.0,4.0,9.0,12.0,8.0,3.0,1.0,1.0,0.0,0.0,05-06,5
2005-09-25,Alaves,Real Madrid,0.0,3.0,A,0.0,0.0,D,1,17.0,20.0,6.0,7.0,17.0,24.0,7.0,10.0,1.0,3.0,0.0,0.0,05-06,5
2005-09-25,Ath Bilbao,Santander,0.0,0.0,D,0.0,0.0,D,1,17.0,5.0,3.0,1.0,16.0,29.0,17.0,5.0,3.0,6.0,0.0,0.0,05-06,5
2005-09-25,Celta,Sevilla,2.0,1.0,H,2.0,0.0,H,1,12.0,9.0,5.0,3.0,22.0,24.0,4.0,6.0,2.0,5.0,0.0,0.0,05-06,5
2005-09-25,Mallorca,Malaga,1.0,4.0,A,0.0,2.0,A,1,14.0,9.0,7.0,5.0,24.0,22.0,8.0,2.0,0.0,1.0,0.0,0.0,05-06,5
2005-09-25,Osasuna,Cadiz,2.0,0.0,H,1.0,0.0,H,1,19.0,3.0,7.0,0.0,27.0,13.0,5.0,5.0,4.0,2.0,0.0,0.0,05-06,5
2005-10-01,Barcelona,Zaragoza,2.0,2.0,D,0.0,0.0,D,1,22.0,7.0,7.0,3.0,16.0,23.0,1.0,2.0,4.0,3.0,0.0,1.0,05-06,6
2005-10-01,Getafe,Valencia,2.0,1.0,H,1.0,1.0,D,1,12.0,9.0,6.0,2.0,25.0,24.0,2.0,0.0,1.0,4.0,0.0,1.0,05-06,6
2005-10-02,Malaga,Ath Madrid,0.0,2.0,A,0.0,1.0,A,1,7.0,14.0,2.0,7.0,19.0,20.0,4.0,6.0,3.0,4.0,0.0,0.0,05-06,6
2005-10-02,Real Madrid,Mallorca,4.0,0.0,H,2.0,0.0,H,1,16.0,11.0,8.0,3.0,17.0,18.0,9.0,5.0,0.0,2.0,0.0,1.0,05-06,6
2005-10-02,La Coruna,Osasuna,0.0,1.0,A,0.0,1.0,A,1,12.0,7.0,1.0,4.0,24.0,25.0,2.0,5.0,1.0,3.0,0.0,0.0,05-06,6
2005-10-02,Cadiz,Celta,1.0,1.0,D,1.0,1.0,D,1,11.0,8.0,6.0,5.0,26.0,18.0,3.0,3.0,2.0,4.0,0.0,0.0,05-06,6
2005-10-02,Santander,Alaves,1.0,2.0,A,0.0,1.0,A,1,9.0,9.0,4.0,3.0,26.0,9.0,6.0,2.0,3.0,1.0,0.0,0.0,05-06,6
2005-10-02,Sevilla,Espanol,1.0,1.0,D,0.0,1.0,A,1,12.0,8.0,3.0,3.0,13.0,11.0,9.0,2.0,3.0,1.0,0.0,0.0,05-06,6
